Flight_ID,Aircraft_Type,Origin,Destination,Departure_DateTime,Flight_Status,Delay_Minutes,Distance_KM,Max_Capacity,Passenger_Count,Avg_Ticket_Price_USD,Total_Revenue_USD,Fuel_Consumed_Liters,CO2_Emissions_KG,Customer_Rating
AV1106,Boeing 737,CDG,JFK,04-01-2026 10:14,Delayed,136,3630,180,109,201.44,21956.96,13068,41294.88,1.7
AV1107,Airbus A320,LHR,JFK,04-01-2026 10:39,On Time,0,3450,160,116,859.89,99747.24,11730,37066.8,2.1
AV1108,Boeing 787,DXB,JFK,04-01-2026 11:03,On Time,0,6800,290,195,250.37,48822.15,35360,111737.6,1.6
AV1109,Boeing 737,CDG,JFK,04-01-2026 11:24,On Time,0,3630,180,175,202.21,35386.75,13068,41294.88,3.3
AV1110,Boeing 737,DXB,SIN,04-01-2026 11:57,Cancelled,0,3600,180,0,600.4,0,0,0,
AV1111,Boeing 737,BOM,SIN,04-01-2026 13:49,On Time,0,2400,180,156,551.95,86104.2,8640,27302.4,4.8
AV1112,Boeing 737,LHR,JFK,04-01-2026 14:17,Delayed,113,3450,180,173,542.99,93937.27,12420,39247.2,4.4
AV1113,Bombardier CRJ900,LHR,JFK,04-01-2026 16:30,On Time,0,3450,90,89,609.6,54254.4,7590,23984.4,3.7
AV1114,Boeing 787,BOM,SIN,04-01-2026 16:36,On Time,0,2400,290,231,379.65,87699.15,12480,39436.8,2.1
AV1115,Airbus A320,DXB,LHR,04-01-2026 17:22,On Time,0,3400,160,110,680.36,74839.6,11560,36529.6,4.5
AV1116,Airbus A350,DXB,CDG,04-01-2026 17:52,On Time,0,3200,320,216,551.92,119214.72,18560,58649.6,4.1
AV1117,Boeing 787,DXB,JFK,04-01-2026 17:57,On Time,0,6800,290,199,417.79,83140.21,35360,111737.6,2.4
AV1118,Boeing 737,DXB,JFK,04-01-2026 18:52,On Time,0,6800,180,159,811.2,128980.8,24480,77356.8,4.3
AV1119,Airbus A350,DXB,LHR,04-01-2026 20:19,On Time,0,3400,320,197,732.18,144239.46,19720,62315.2,4.6
AV1120,Airbus A320,DXB,CDG,04-01-2026 23:04,Delayed,177,3200,160,99,464.89,46024.11,10880,34380.8,3.9
AV1121,Boeing 787,DXB,JFK,04-01-2026 23:38,On Time,0,6800,290,244,828.09,202053.96,35360,111737.6,1.9
AV1122,Airbus A350,DXB,SIN,05-01-2026 01:13,On Time,0,3600,320,274,886.21,242821.54,20880,65980.8,4.9
AV1123,Boeing 737,DXB,BOM,05-01-2026 06:05,On Time,0,1200,180,155,579.49,89820.95,4320,13651.2,1.8
AV1124,Boeing 737,DXB,BOM,05-01-2026 07:40,On Time,0,1200,180,134,321.96,43142.64,4320,13651.2,3.8
AV1125,Boeing 737,DXB,JFK,05-01-2026 08:19,On Time,0,6800,180,166,882.63,146516.58,24480,77356.8,1.9
AV1126,Airbus A320,DXB,SYD,05-01-2026 08:25,On Time,0,7500,160,130,301.58,39205.4,25500,80580,4.7
AV1127,Boeing 787,DXB,JFK,05-01-2026 10:42,On Time,0,6800,290,186,188.74,35105.64,35360,111737.6,2.7
AV1128,Airbus A350,BOM,SIN,05-01-2026 10:48,On Time,0,2400,320,294,411.99,121125.06,13920,43987.2,3.3
AV1129,Boeing 737,BOM,SIN,05-01-2026 10:56,On Time,0,2400,180,176,731.57,128756.32,8640,27302.4,2.1
AV1130,Airbus A320,DXB,CDG,05-01-2026 11:37,Delayed,157,3200,160,99,888.62,87973.38,10880,34380.8,3.4
AV1131,Airbus A320,LHR,JFK,05-01-2026 13:13,On Time,0,3450,160,121,659.83,79839.43,11730,37066.8,4.8
AV1132,Boeing 737,DXB,SIN,05-01-2026 13:23,On Time,0,3600,180,143,911.47,130340.21,12960,40953.6,4.7
AV1133,Boeing 737,DXB,LHR,05-01-2026 13:49,On Time,0,3400,180,118,223.9,26420.2,12240,38678.4,1.7
AV1134,Boeing 737,DXB,JFK,05-01-2026 14:11,On Time,0,6800,180,170,198.6,33762,24480,77356.8,2.8
AV1135,Bombardier CRJ900,DXB,SIN,05-01-2026 14:13,On Time,0,3600,90,64,633.35,40534.4,7920,25027.2,2.4
AV1136,Boeing 737,DXB,LHR,05-01-2026 14:41,On Time,0,3400,180,164,922.89,151353.96,12240,38678.4,3.2
AV1137,Airbus A320,BOM,SIN,05-01-2026 14:54,Delayed,75,2400,160,138,552.18,76200.84,8160,25785.6,4.4
AV1138,Boeing 787,CDG,JFK,05-01-2026 16:12,Cancelled,0,3630,290,0,191.21,0,0,0,
AV1139,Airbus A320,DXB,SIN,05-01-2026 16:14,On Time,0,3600,160,134,326.97,43813.98,12240,38678.4,4.1
AV1140,Bombardier CRJ900,DXB,BOM,05-01-2026 16:54,On Time,0,1200,90,60,345.83,20749.8,2640,8342.4,2.7
AV1141,Bombardier CRJ900,DXB,JFK,05-01-2026 17:18,On Time,0,6800,90,61,420.29,25637.69,14960,47273.6,2.8
AV1142,Boeing 737,DXB,CDG,05-01-2026 17:20,On Time,0,3200,180,111,184.88,20521.68,11520,36403.2,3.8
AV1143,Airbus A320,DXB,BOM,05-01-2026 17:40,On Time,0,1200,160,111,873.91,97004.01,4080,12892.8,2.2
AV1144,Boeing 737,LHR,JFK,05-01-2026 17:54,Cancelled,0,3450,180,0,562.45,0,0,0,
AV1145,Boeing 737,DXB,SYD,05-01-2026 18:06,On Time,0,7500,180,132,686.74,90649.68,27000,85320,1.9
AV1146,Boeing 737,DXB,LHR,05-01-2026 20:48,On Time,0,3400,180,167,203.74,34024.58,12240,38678.4,2.3
AV1147,Airbus A320,BOM,SIN,05-01-2026 22:21,Delayed,35,2400,160,119,193.29,23001.51,8160,25785.6,1.9
AV1148,Airbus A320,DXB,JFK,05-01-2026 23:36,On Time,0,6800,160,144,619.17,89160.48,23120,73059.2,2.7
AV1149,Boeing 737,DXB,CDG,06-01-2026 00:48,On Time,0,3200,180,139,859.84,119517.76,11520,36403.2,4.8
AV1150,Boeing 737,CDG,JFK,06-01-2026 00:53,On Time,0,3630,180,164,572.79,93937.56,13068,41294.88,1.9
AV1151,Bombardier CRJ900,BOM,SIN,06-01-2026 01:52,On Time,0,2400,90,89,852.26,75851.14,5280,16684.8,4.4
AV1152,Boeing 737,DXB,JFK,06-01-2026 03:45,On Time,0,6800,180,125,798.79,99848.75,24480,77356.8,3.4
AV1153,Boeing 737,CDG,JFK,06-01-2026 04:26,On Time,0,3630,180,170,210.68,35815.6,13068,41294.88,3.7
AV1154,Airbus A320,DXB,CDG,06-01-2026 05:43,On Time,0,3200,160,135,311.57,42061.95,10880,34380.8,2.1
AV1155,Bombardier CRJ900,DXB,SYD,06-01-2026 08:24,Diverted,0,7500,90,83,676.17,56122.11,16500,52140,2
AV1156,Boeing 737,DXB,BOM,06-01-2026 08:31,On Time,0,1200,180,154,504.8,77739.2,4320,13651.2,2.1
AV1157,Airbus A320,DXB,BOM,06-01-2026 09:09,On Time,0,1200,160,123,382.56,47054.88,4080,12892.8,3.8
AV1158,Boeing 787,BOM,SIN,06-01-2026 09:18,On Time,0,2400,290,200,484.91,96982,12480,39436.8,4.1
AV1159,Boeing 737,DXB,JFK,06-01-2026 10:38,On Time,0,6800,180,113,506.16,57196.08,24480,77356.8,4.7
AV1160,Boeing 787,DXB,JFK,06-01-2026 11:39,On Time,0,6800,290,236,878.44,207311.84,35360,111737.6,2.9
AV1161,Airbus A320,DXB,CDG,06-01-2026 11:43,Delayed,91,3200,160,159,232.77,37010.43,10880,34380.8,3.1
AV1162,Airbus A320,DXB,SYD,06-01-2026 12:13,Delayed,61,7500,160,143,373.78,53450.54,25500,80580,3.1
AV1163,Airbus A320,DXB,JFK,06-01-2026 13:59,On Time,0,6800,160,116,580.05,67285.8,23120,73059.2,2.4
AV1164,Airbus A320,DXB,CDG,06-01-2026 14:30,Delayed,89,3200,160,148,708.63,104877.24,10880,34380.8,2.6
AV1165,Boeing 737,LHR,JFK,06-01-2026 14:38,On Time,0,3450,180,163,654.51,106685.13,12420,39247.2,4.5
AV1166,Airbus A350,BOM,SIN,06-01-2026 15:09,On Time,0,2400,320,228,903.31,205954.68,13920,43987.2,2.7
AV1167,Boeing 737,LHR,JFK,06-01-2026 16:03,On Time,0,3450,180,109,786.49,85727.41,12420,39247.2,4.5
AV1168,Boeing 737,BOM,SIN,06-01-2026 16:17,Delayed,63,2400,180,116,595.66,69096.56,8640,27302.4,2.6
AV1169,Boeing 737,CDG,JFK,06-01-2026 16:35,On Time,0,3630,180,171,321.75,55019.25,13068,41294.88,2.7
AV1170,Airbus A320,DXB,CDG,06-01-2026 19:27,On Time,0,3200,160,149,510.7,76094.3,10880,34380.8,3.5
AV1171,Airbus A320,DXB,CDG,06-01-2026 19:42,On Time,0,3200,160,114,704.71,80336.94,10880,34380.8,1.9
AV1172,Boeing 737,DXB,SIN,06-01-2026 21:09,On Time,0,3600,180,128,820.37,105007.36,12960,40953.6,4.7
AV1173,Airbus A320,CDG,JFK,06-01-2026 22:19,On Time,0,3630,160,146,917.79,133997.34,12342,39000.72,4.4
AV1174,Boeing 737,DXB,CDG,07-01-2026 01:24,On Time,0,3200,180,175,634.36,111013,11520,36403.2,3.8
AV1175,Airbus A320,DXB,JFK,07-01-2026 01:34,On Time,0,6800,160,145,571.54,82873.3,23120,73059.2,5
AV1176,Boeing 737,BOM,SIN,07-01-2026 02:56,On Time,0,2400,180,151,164.15,24786.65,8640,27302.4,1.6
AV1177,Airbus A320,LHR,JFK,07-01-2026 03:11,On Time,0,3450,160,111,207.68,23052.48,11730,37066.8,2.9
AV1178,Airbus A320,BOM,SIN,07-01-2026 05:11,Delayed,41,2400,160,129,274.88,35459.52,8160,25785.6,4.5
AV1179,Bombardier CRJ900,DXB,BOM,07-01-2026 05:41,On Time,0,1200,90,62,193.81,12016.22,2640,8342.4,3
AV1180,Boeing 737,DXB,SIN,07-01-2026 06:12,On Time,0,3600,180,166,470.69,78134.54,12960,40953.6,1.5
AV1181,Boeing 737,DXB,CDG,07-01-2026 06:13,On Time,0,3200,180,135,419.5,56632.5,11520,36403.2,2.1
AV1182,Boeing 737,DXB,SYD,07-01-2026 08:07,Delayed,45,7500,180,168,659.88,110859.84,27000,85320,3
AV1183,Bombardier CRJ900,DXB,LHR,07-01-2026 08:25,Cancelled,0,3400,90,0,578.53,0,0,0,
AV1184,Airbus A350,DXB,SIN,07-01-2026 08:59,On Time,0,3600,320,240,626.78,150427.2,20880,65980.8,3.8
AV1185,Boeing 737,DXB,CDG,07-01-2026 09:38,On Time,0,3200,180,167,527.58,88105.86,11520,36403.2,2.1
AV1186,Airbus A320,LHR,JFK,07-01-2026 10:50,Delayed,46,3450,160,117,372.19,43546.23,11730,37066.8,3.1
AV1187,Boeing 787,DXB,CDG,07-01-2026 10:57,Delayed,172,3200,290,225,912.26,205258.5,16640,52582.4,1.5
AV1188,Airbus A320,DXB,LHR,07-01-2026 11:21,On Time,0,3400,160,135,219.13,29582.55,11560,36529.6,3.2
AV1189,Airbus A320,LHR,JFK,07-01-2026 11:27,On Time,0,3450,160,100,901.11,90111,11730,37066.8,4.6
AV1190,Boeing 737,BOM,SIN,07-01-2026 12:27,On Time,0,2400,180,176,398.99,70222.24,8640,27302.4,3.6
AV1191,Boeing 737,LHR,JFK,07-01-2026 12:28,On Time,0,3450,180,149,560.13,83459.37,12420,39247.2,3
AV1192,Airbus A350,DXB,SIN,07-01-2026 12:44,Delayed,32,3600,320,257,237.07,60926.99,20880,65980.8,2.1
AV1193,Bombardier CRJ900,BOM,SIN,07-01-2026 13:46,On Time,0,2400,90,84,206.74,17366.16,5280,16684.8,2.2
AV1194,Airbus A320,DXB,CDG,07-01-2026 14:16,On Time,0,3200,160,151,493.64,74539.64,10880,34380.8,1.8
AV1195,Boeing 737,CDG,JFK,07-01-2026 14:49,On Time,0,3630,180,145,743.36,107787.2,13068,41294.88,4.1
AV1196,Boeing 737,DXB,CDG,07-01-2026 15:46,On Time,0,3200,180,174,365.49,63595.26,11520,36403.2,1.8
AV1197,Boeing 787,DXB,LHR,07-01-2026 15:57,On Time,0,3400,290,181,599.88,108578.28,17680,55868.8,2.8
AV1198,Airbus A350,CDG,JFK,07-01-2026 16:05,On Time,0,3630,320,206,372.92,76821.52,21054,66530.64,4.1
AV1199,Airbus A350,DXB,CDG,07-01-2026 16:22,On Time,0,3200,320,268,460.89,123518.52,18560,58649.6,4
AV1200,Boeing 787,DXB,SYD,07-01-2026 17:05,On Time,0,7500,290,215,875.16,188159.4,39000,123240,3.5
AV1201,Airbus A320,DXB,SIN,07-01-2026 17:15,On Time,0,3600,160,125,834.67,104333.75,12240,38678.4,3.5
AV1202,Boeing 737,DXB,SYD,07-01-2026 17:35,Delayed,139,7500,180,131,562.81,73728.11,27000,85320,1.8
AV1203,Boeing 737,BOM,SIN,07-01-2026 18:14,Cancelled,0,2400,180,0,340.48,0,0,0,
AV1204,Airbus A350,DXB,BOM,07-01-2026 18:36,On Time,0,1200,320,243,304.55,74005.65,6960,21993.6,2.1
AV1205,Airbus A320,DXB,CDG,07-01-2026 18:45,Delayed,77,3200,160,148,913.27,135163.96,10880,34380.8,3.4
AV1206,Boeing 737,DXB,JFK,07-01-2026 19:00,On Time,0,6800,180,150,312.17,46825.5,24480,77356.8,2.7
AV1207,Boeing 737,DXB,JFK,07-01-2026 20:24,On Time,0,6800,180,179,796.53,142578.87,24480,77356.8,1.6
AV1208,Airbus A320,LHR,JFK,07-01-2026 20:39,Diverted,0,3450,160,146,445.18,64996.28,11730,37066.8,4.3
AV1209,Boeing 737,DXB,SYD,07-01-2026 21:07,On Time,0,7500,180,127,938.53,119193.31,27000,85320,3.8
AV1210,Boeing 737,DXB,SIN,07-01-2026 21:58,On Time,0,3600,180,127,444.52,56454.04,12960,40953.6,2.6
AV1211,Airbus A320,DXB,CDG,07-01-2026 22:06,Cancelled,0,3200,160,0,431.21,0,0,0,
AV1212,Airbus A320,DXB,LHR,07-01-2026 22:42,Delayed,142,3400,160,117,659.97,77216.49,11560,36529.6,1.8
